section,latitude,longitude,population
Lower Niawa,7.902905133333333,-11.634671066666668,7118
Lower Pataloo,7.9297227999999995,-11.494417733333332,9476
Lower Torgboma,8.099071402833333,-10.971682486666666,2996
Lunia,8.33349808695652,-11.727037260869565,9491
Mabondor,7.616524784666667,-11.443309666666666,1861
Magbao,7.729456750000001,-11.87047975,2197
Mambawa,7.783659,-11.82775675,1663
Mangaru,8.303702,-11.508489999999998,2952
Mano,7.55720975,-11.86258475,2570
Manyeh,7.70728875,-11.531854749999999,3579
Maryu,8.054156333333333,-11.878599666666666,1159
Mawojeh,7.885565,-11.472265285714286,4246
Mendekelema,7.766754956750001,-10.9727885225,1964
Menima,7.6733485319999994,-11.333854993333333,1246
Mokpendeh,8.1305125,-11.702057,1269
Morku,7.7821663999999995,-11.8660824,2091
Nekpondo,7.864346666666666,-11.580025666666666,1639
Ngiebu,7.587952227,-10.974769505,1086
Ngiewoma-Njeigor,7.57801611425,-10.8737466525,1252
Ngolamajie,7.975931625,-11.80546275,4310
Ngovo,8.1764375,-11.775055,811
Nguabu,8.00325538095238,-11.729864333333337,10542
Niagorehun,7.683041,-11.765829799999999,3506
Niawa,7.988139021500003,-11.381696643749999,13034
Njagbla I,7.7728573333333335,-11.783963666666665,1356
Njagbla II,7.836350499999999,-11.729355437499999,8145
Njargbahun,8.127236499999999,-11.44600425,1618
Njeima,7.9398242727272725,-11.40620909090909,5624
Njeiwoma,7.6744508905,-11.48328874,1832
North Ward-Bo Number Two-Borborkombo,7.9759232631578945,-11.727690684210526,10729
North Ward-Kissy Town-Kortubuma,7.969835928571428,-11.740735428571428,7797
North Ward-Kissy Town-Samamie,7.9706149375,-11.735929875,8850
North Ward-Njai Town-Kulanda Town,7.976611200000001,-11.7360245,5441
North Ward-Reservation I,7.97680611111111,-11.746584666666667,6445
North Ward-Reservation II,7.965815749999999,-11.749948999999999,2252
Nyallay,8.024031071428572,-11.601685999999999,6708
Nyawa,8.18747096155357,-11.153455008035712,24474
Old Town,8.1095375,-11.714496625,5719
Sahn,7.722587375,-12.045507625,3316
Samamie,7.976016838709676,-11.758903612903223,22150
Samawa,8.132848000000001,-11.5050276,2950
Sandaru,7.758953246166667,-11.030339606666667,3626
Sei,8.193897798913044,-11.114091938260868,11020
Seilenga,8.284830166666666,-11.643840166666665,2510
Seiwa,7.895321558139536,-11.757520372093026,28087
Seiwor,8.120617845800002,-11.191743944,3320
Sembehun,7.70682661975,-10.9639480225,1672
Sendeh,7.776118571428571,-11.72798942857143,5316
Serabu,7.7328612810909085,-11.791585450000001,5783
Sewa,7.931716636363635,-11.691285727272726,6601
Sewama,7.709539833333333,-11.971508749999998,6468
Sindeh,8.0094738,-11.6086498,2165
Songhai,8.273545914857143,-11.369995837142858,4269
Sonnah,7.8622327,-11.5398917,3841
Sonnie,8.001172918111111,-11.264846112777777,8512
Sowa,7.878592217777777,-11.402014354444447,4691
Taninahun,7.838296500363638,-11.924166426666668,12619
Tissana,7.5770705000000005,-11.946616500000001,5422
Tongorwa,8.3469245,-11.41203398,2881
Tongowa,7.96639,-11.613067249999999,9637
Upper Baimba,7.796834285714286,-11.658626571428572,3096
Upper Dabor,7.838540359333334,-11.022674413333334,3704
Upper Kama,7.7897845000000006,-11.59978225,2343
Upper Kargoi,7.781073500000001,-11.433508833333335,3824
Upper Koya,7.611804402428571,-11.264351395714286,3433
Upper Niawa,8.0043192,-11.545145699999999,5449
Upper Pataloo,8.010572800000002,-11.4101229,3944
Upper Torgboma,8.134184114166667,-10.947084338333333,2803
Vaama,7.6658862135,-11.418923785,821
Vanjelu,8.1936768,-11.698761000000001,3269
Walihun,7.768298333333334,-12.086130666666667,3396
West Ward-Kandeh Town - Korwama,7.946616846153845,-11.751085923076923,8425
West Ward-Lewabu - Manjama,7.941784200000001,-11.738065899999999,5803
West Ward-Moriba Town - Sewa Road,7.951527357142855,-11.734599035714284,16464
West Ward-Nikibu - Bo School,7.961450999999999,-11.748593600000001,8087
West Ward-Njagboima-Coronation Field,7.955520586206898,-11.744435758620687,13485
Yalenga,8.1819502225,-11.448341681923075,12726
Yarlenga,8.223933375,-11.634255249999999,4129
Yengema,7.859014666666667,-12.020036,1072
Yorma,7.731738000000001,-11.811455500000001,4126
